time,wx (rad/s),wy (rad/s),wz (rad/s)
1.496673,-0.02,0.01,-0.03
1.498373,-0.02,0.01,-0.03
1.500173,-0.02,0.01,-0.03
1.502637,-0.02,0.01,-0.03
1.506142,-0.02,0.01,-0.03
1.508410,-0.02,0.01,-0.03
1.510386,-0.02,0.01,-0.03
1.512308,-0.02,0.01,-0.02
1.515516,-0.02,0.01,-0.02
1.519216,-0.02,0.01,-0.02
1.520381,-0.03,0.01,-0.02
1.521489,-0.02,0.01,-0.02
1.529540,-0.02,0.01,-0.01
1.530126,-0.02,0.01,-0.01
1.530337,-0.02,0.01,-0.01
1.532765,-0.02,0.01,-0.01
1.533692,-0.02,0.00,-0.01
1.536929,-0.02,0.00,-0.01
1.538487,-0.02,0.00,-0.01
1.549068,-0.02,0.00,-0.00
1.550176,-0.02,-0.00,-0.01
1.550474,-0.01,-0.00,-0.00
1.550773,-0.01,-0.00,-0.00
1.551063,-0.01,-0.00,-0.00
1.554761,-0.01,-0.00,-0.00
1.559972,-0.01,-0.00,-0.00
1.560714,-0.01,-0.00,0.00
1.561172,-0.01,-0.01,0.00
1.563535,-0.01,-0.01,0.00
1.566707,-0.01,-0.01,0.00
1.568648,-0.01,-0.01,0.00
1.570824,-0.01,-0.00,0.00
1.575120,-0.00,-0.00,0.00
1.576774,-0.00,-0.01,0.00
1.579531,-0.01,-0.00,0.00
1.581726,-0.01,-0.01,0.01
1.583136,-0.00,-0.01,0.01
1.586174,-0.00,-0.01,0.01
1.592468,-0.00,-0.01,0.01
1.593457,-0.00,-0.01,0.01
1.594155,0.00,-0.01,0.01
1.595615,0.01,-0.01,0.01
1.598688,0.00,-0.01,0.01
1.602297,0.00,-0.01,0.01
1.604264,0.00,-0.01,0.01
1.608491,0.00,-0.01,0.01
1.609316,0.01,-0.01,0.01
1.611046,-0.00,-0.01,0.01
1.614849,0.00,-0.01,0.01
1.616377,0.00,-0.01,0.01
1.617903,0.00,-0.01,0.01
1.620712,0.00,-0.01,0.01
1.624198,0.01,-0.01,0.01
1.626794,0.00,-0.01,0.01
1.629481,0.00,-0.01,0.01
1.630339,0.00,-0.01,0.01
1.632872,0.00,-0.01,0.01
1.635551,0.01,-0.01,0.01
1.642250,0.01,-0.01,0.01
1.643101,0.00,-0.00,0.01
1.643491,0.01,-0.01,0.02
1.645560,0.00,-0.00,0.01
1.647904,0.00,-0.00,0.02
1.651697,0.01,-0.00,0.01
1.653757,-0.00,-0.00,0.01
1.654876,0.00,-0.00,0.01
1.658294,0.00,-0.00,0.01
